,Item,Quantity,Cost (USD),Purchase Link
,GPS,1,8.99,https://www.amazon.com/HiLetgo-GY-NEO6MV2-Controller-Ceramic-Antenna/dp/B01D1D0F5M?th=1
,Hall Effect Sensor,1,3.28,https://www.aliexpress.us/item/3256808273062702.html?spm=a2g0o.productlist.main.2.28b95ea65Eedbf&algo_pvid=c5b4429e-7c08-481b-8441-a9c903ec156f&algo_exp_id=c5b4429e-7c08-481b-8441-a9c903ec156f-1&pdp_ext_f=%7B%22order%22%3A%22445%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.24%210.99%21%21%213.24%210.99%21%4021030a4b17813189021478670e07bf%2112000045225679024%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3a4c5093%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262963&curPageLogUid=dLRSSyNQZlGG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008459377454%7C_p_origin_prod%3A
,Magnets,1,6.45,https://www.aliexpress.us/item/3256810253099525.html?spm=a2g0o.productlist.main.1.3a888da0dguRcO&algo_pvid=55c812ca-f19c-400e-ba9c-c5a5441a6f62&algo_exp_id=55c812ca-f19c-400e-ba9c-c5a5441a6f62-0&pdp_ext_f=%7B%22order%22%3A%2225315%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010439414277%22%2C%22orig_item_id%22%3A%221005010158237241%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.38%212.56%21%21%2142.94%2117.24%21%4021030a6217813189905784292e500e%2112000052413833922%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3a4c5093%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=lVdJJlFVtxi3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010439414277%7C_p_origin_prod%3A1005010158237241
,IMU,1,4.84,https://www.digikey.com/en/products/detail/stmicroelectronics/LSM6DSOTR/9586579
,Magnometer,1,5.95,https://www.adafruit.com/product/5579
,Pressure Sensor,1,6.18,https://www.aliexpress.us/item/3256809434459171.html?spm=a2g0o.productlist.main.6.637f7fd7fadsUf&algo_pvid=3b934d2c-163c-40a5-839f-8405ff229295&algo_exp_id=3b934d2c-163c-40a5-839f-8405ff229295-5&pdp_ext_f=%7B%22order%22%3A%22208%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.94%210.99%21%21%2140.00%216.67%21%402101e8f317814067703902421ed2e6%2112000049658676993%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21d99260%3Bm03_new_user%3A-29895%3BpisId%3A5000000207260799&curPageLogUid=wnE0yvQv0ZN5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009620773923%7C_p_origin_prod%3A
,ESP32-S3,1,13.99,https://www.amazon.com/ESP32-S3-DevKitC-1-Development-Dual-Core-Bluetooth/dp/B0GVSHT2Q2?crid=3GS0TOWZMMETY&dib=eyJ2IjoiMSJ9.BKEwrD-bCKBqkHkYLQeo2ann0lEr3Z3WqeYAHjq8emds6ZivkQR0R0wnqex0YyrbmSbbpYENEpbarCHnZ-OOCD8jw2RVF4eEyUlUJvqlOfODU2j8hkC4NWkVeMJ2gN8Zl_B9S82RtkSY3GvY_h2g9qCS4cYzw5QjM70ehsIAARHTgw2UVZiiBO5tlt4S5IDKjYBnhOhe4fgYHgjQIOeEkU92z_cyC-KKgPYLQ2B3gZ9GtL3yTE8OARpBEYJMLiDGy5D9dhPoee7KAmfmw9Z4Sb7NDLueyagF-YmXXQ33wWM.2yKVPOrQfTALVl0NeDRCWBk_eCeIFLkxxg-DYMS25rI&dib_tag=se&keywords=esp32%2Bs3%2B1u&qid=1781550905&s=electronics&sprefix=esp32%2Bs3%2B1u%2Celectronics%2C151&sr=1-10&th=1
,Main Motor,1,29.1,https://www.underwaterthruster.com/products/apisqueen-brushless-waterproof-motor-2828-12v-16v-500kv-for-underwater-thruster-boat-rov
,ESC,1,17.64,https://www.underwaterthruster.com/products/apisqueen-12-24v-3-6s-lipo-45a-bi-directional-esc-to-control-brushless-motors-propellers-in-forward-or-reverse-rotation
,4S LIPO,1,26.99,https://www.amazon.com/OVONIC-Battery-2200mAh-Connector-Quadcopter/dp/B0D8SF1C9K?dib=eyJ2IjoiMSJ9.miTx3AqvK_wmBdKUpj81DTOa-8JGIaKkd9HCLpPJqESJUvnYqayFySuwiewI0_hWnLaWymCHEoU4SaFlm3zNEwNqwSjEIXfIPBvuhlbLkG9gfB2tegAOjpxxjmQzztFFxpZPFo81YJJyJIyPNtoZ8qylfqG_tNnjLHQ9wn4h5UlYKMEGLz6zDULZR6IRlW9U4CEbqamuAWZykjPEiDtn2FdTBYHr3sx_WieWgkmS-ugfSHJ6IaxI0uZLYKJoZxJJLQ1CNamyOkNEmP9F3NiZNX1qOUExoc3BgKVtExBQWzc.oLSayzRAaRKvV8TW8pii1fu_xTyGi8n2ORRlm5OzUMo&dib_tag=se&keywords=4s+lipo+battery&qid=1784152276&refinements=p_36%3A-4100&rnid=386636011&sr=8-5
,Buck Converter,1,11.2,https://www.aliexpress.us/item/3256808194722756.html?spm=a2g0o.productlist.main.2.186c42f2ddVBQl&algo_pvid=a1c9fe9d-242a-4f59-98f2-624b7280b84c&algo_exp_id=a1c9fe9d-242a-4f59-98f2-624b7280b84c-1&pdp_ext_f=%7B%22order%22%3A%22252%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.09%210.99%21%21%2174.65%216.63%21%40210337c117814040484698983e4ccd%2112000044789042874%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21d99260%3Bm03_new_user%3A-29895%3BpisId%3A5000000207260799&curPageLogUid=jlv8gK211gzo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008381037508%7C_p_origin_prod%3A
,LIPO Converter,1,6.58,https://www.aliexpress.us/item/3256810183858580.html?spm=a2g0o.productlist.main.4.25ae291fYmc0wE&aem_p4p_detail=202606131355591936982361293680001023623&algo_pvid=9eb7c282-25e4-4f1e-83bb-efab6a64dcf1&algo_exp_id=9eb7c282-25e4-4f1e-83bb-efab6a64dcf1-3&pdp_ext_f=%7B%22order%22%3A%22296%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.51%210.99%21%21%2143.85%216.68%21%40210311cc17813841595541265eac50%2112000052163101325%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A17223ff7%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262963&curPageLogUid=INr7DNhlEVcy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010370173332%7C_p_origin_prod%3A&search_p4p_id=202606131355591936982361293680001023623_1
